1598298698,25,0,0
1598299841,30,0,0
1598300221,30,0,0
1598300348,30,0,0
1598300542,30,0,0
1598300691,30,0,0
1598300770,30,0,0
1598301373,33,0,0
1598304390,33,0,0
1598304733,30,0,0
1598304836,30,0,0
1598305029,30,0,0
1598305098,30,0,0
1598305328,30,0,0
1598305390,30,0,0
1598305438,30,0,0
1598309409,30,0,0
1598309863,30,0,0
1598309937,30,0,0
1598310084,30,0,0
1598310193,30,0,0
1598310295,30,0,0
1598310479,30,0,0
1598311133,12,1,0
1598311698,12,1,0
1598311943,12,1,0
1598311994,12,1,0
1598312140,12,1,0
1598312256,30,0,0
1598312363,30,0,0
1598312480,30,0,0
1598312599,30,0,0
1598312706,30,0,0
1598377900,20,0,0
1598377965,20,0,0
1598378119,20,0,0
1598378223,20,0,0
1598379111,20,0,0
1598379161,20,0,0
1598379485,20,0,0
