1597021750446: 1,0,0,0.5,23,24,40.1,-275.1675284507042,0.04296875,0.0304132075,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597021885703: 1,0,0,0.5,23,24,40.1,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597021932733: 1,0,0,0.5,23,24,40.1,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597022105432: 1,0,0,0.5,23,24,40.1,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597022124522: 1,0,0,0.5,23,24,40.6,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597022182682: 1,0,0,0.5,23,24,40.6,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597022359198: 1,0,0,0.5,23,24,41.2,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597024375616: 1,0,0,0.5,23,24,40.6,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597024478603: 1,0,0,0.5,23,24,39.5,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597024681098: 1,0,0,0.5,23,24,40.1,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597024712505: 1,0,0,0.5,23,24,40.6,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597024761130: 1,0,0,0.5,23,24,40.1,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597025413608: 1,0,0,0.5,23,24,39.0,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597025431856: 1,0,0,0.5,23,24,39.5,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
1597025648977: 1,0,0,0.5,23,24,39.0,-275.1675284507042,0.04296875,3.5,0.0244140624,0.0345865884,0.0366210936,0.046386719699999995,0.0128173836,0.012207032,0.053710938599999994,0.014648438399999998,0.014038086799999999,0.06103515749999999,
